title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Sugar Land,TX,77478,"$231,700","3 bds, 2.0 ba ,1642 sqft",Greg Bennett Fine Properties,https://www.zillow.com/homedetails/1907-Barons-Gln-Sugar-Land-TX-77478/27562038_zpid/
House for sale,,Sugar Land,TX,77478,"$238,000","3 bds, 3.0 ba ,1932 sqft",Brilliant Realty,https://www.zillow.com/homedetails/13107-Careywood-Dr-Sugar-Land-TX-77478/27539071_zpid/
House for sale,,Sugar Land,TX,77478,"$420,000","5 bds, 4.0 ba ,4211 sqft",REALM Real Estate Professional,https://www.zillow.com/homedetails/12331-Ashford-Place-Dr-Sugar-Land-TX-77478/82728661_zpid/
House for sale,,Sugar Land,TX,77478,"$329,900","4 bds, 2.0 ba ,2473 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/3218-Serene-Oak-Dr-Sugar-Land-TX-77478/27573208_zpid/
House for sale,,Sugar Land,TX,77478,"$292,000","3 bds, 2.0 ba ,1866 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/131-Azalea-St-Sugar-Land-TX-77478/27545540_zpid/
House for sale,,Sugar Land,TX,77478,"$459,500","4 bds, 4.0 ba ,3461 sqft",RE/MAX Southwest,https://www.zillow.com/homedetails/643-Chevy-Chase-Cir-Sugar-Land-TX-77478/27609158_zpid/
House for sale,,Sugar Land,TX,77478,"$469,900","4 bds, 4.0 ba ,3739 sqft","Richard Wall, REALTORS",https://www.zillow.com/homedetails/1710-Hodge-Lake-Ln-Sugar-Land-TX-77478/27613163_zpid/
House for sale,,Sugar Land,TX,77478,"$399,900","3 bds, 2.0 ba ,2435 sqft",Greg Bennett Fine Properties,https://www.zillow.com/homedetails/534-Fox-Briar-Ln-Sugar-Land-TX-77478/27609587_zpid/
Lot / Land for sale,,Sugar Land,TX,77478,"$2,100,000","7 bds, None ba ,8500 sqft",RE/MAX Cinco Ranch,https://www.zillow.com/homedetails/1205-Horseshoe-Dr-Sugar-Land-TX-77478/27526955_zpid/
House for sale,,Sugar Land,TX,77478,"$369,900","4 bds, 3.0 ba ,2561 sqft",Lone Star Properties,https://www.zillow.com/homedetails/1034-Mockingbird-Way-Sugar-Land-TX-77478/27610824_zpid/
House for sale,,Sugar Land,TX,77478,"$689,000","4 bds, 4.0 ba ,4230 sqft",RE/MAX Southwest,https://www.zillow.com/homedetails/1229-Wedgewood-Dr-Sugar-Land-TX-77478/27610080_zpid/
House for sale,,Sugar Land,TX,77478,"$399,500","3 bds, 3.0 ba ,2749 sqft",RE/MAX Southwest,https://www.zillow.com/homedetails/341-Fox-Briar-Ln-Sugar-Land-TX-77478/27609707_zpid/
House for sale,,Sugar Land,TX,77478,"$545,000","3 bds, 3.0 ba ,3222 sqft",REALM Real Estate Professional,https://www.zillow.com/homedetails/414-Arctic-Tern-Ct-Sugar-Land-TX-77478/27539504_zpid/
House for sale,,Sugar Land,TX,77478,"$369,000","3 bds, 3.0 ba ,2272 sqft",Primark Realty,https://www.zillow.com/homedetails/1111-Oyster-Bay-Dr-Sugar-Land-TX-77478/27584937_zpid/
House for sale,,Sugar Land,TX,77478,"$229,000","4 bds, 2.0 ba ,1905 sqft",RE/MAX United,https://www.zillow.com/homedetails/2131-Highland-Hills-Dr-Sugar-Land-TX-77478/27562365_zpid/
House for sale,,Sugar Land,TX,77478,"$330,000","4 bds, 3.0 ba ,2531 sqft",REALM Real Estate Professional,https://www.zillow.com/homedetails/3107-Chippendale-Ct-Sugar-Land-TX-77478/27609445_zpid/
House for sale,,Sugar Land,TX,77478,"$635,000","4 bds, 3.0 ba ,2514 sqft",Richmond Property Shoppe,https://www.zillow.com/homedetails/314-Lombardy-Dr-Sugar-Land-TX-77478/27618937_zpid/
House for sale,,Sugar Land,TX,77478,"$450,000","4 bds, 3.0 ba ,2917 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/3103-Amesbury-Ct-Sugar-Land-TX-77478/27609796_zpid/
Townhouse for sale,,Sugar Land,TX,77478,"$557,000","3 bds, 4.0 ba ,3148 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/1420-Lake-Pointe-Pkwy-Sugar-Land-TX-77478/72055766_zpid/
House for sale,,Sugar Land,TX,77478,"$329,900","4 bds, 3.0 ba ,2617 sqft",RE/MAX Fine Properties,https://www.zillow.com/homedetails/3123-Waters-View-Dr-Sugar-Land-TX-77478/27554386_zpid/
Townhouse for sale,,Sugar Land,TX,77478,"$178,000","2 bds, 2.0 ba ,1284 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/37-River-Creek-Way-Sugar-Land-TX-77478/27609900_zpid/
House for sale,,Sugar Land,TX,77478,"$599,000","4 bds, 5.0 ba ,3416 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/1119-Oyster-Bank-Cir-Sugar-Land-TX-77478/80064474_zpid/
House for sale,,Sugar Land,TX,77478,"$380,000","3 bds, 3.0 ba ,2060 sqft",Grove Realty,https://www.zillow.com/homedetails/115-Guenther-St-Sugar-Land-TX-77478/27539911_zpid/
House for sale,,Sugar Land,TX,77478,"$395,000","4 bds, 3.0 ba ,2863 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/823-Merrick-Dr-Sugar-Land-TX-77478/27609306_zpid/
House for sale,,Sugar Land,TX,77478,"$254,900","3 bds, 2.0 ba ,1865 sqft","Bayou Vista Realty, LLC",https://www.zillow.com/homedetails/1902-Iron-Rdg-Sugar-Land-TX-77478/27562040_zpid/
House for sale,,Sugar Land,TX,77478,"$392,000","4 bds, 3.0 ba ,3146 sqft",Elite Texas Properties,https://www.zillow.com/homedetails/3122-Waters-Way-Dr-Sugar-Land-TX-77478/27554376_zpid/
House for sale,,Sugar Land,TX,77478,"$335,000","5 bds, 3.0 ba ,2587 sqft",Richland Realty,https://www.zillow.com/homedetails/4926-Winding-River-Dr-Sugar-Land-TX-77478/27605515_zpid/
House for sale,,Sugar Land,TX,77478,"$388,000","5 bds, 4.0 ba ,4211 sqft",Texas United Realty,https://www.zillow.com/homedetails/12318-Ashford-Place-Dr-Sugar-Land-TX-77478/82725141_zpid/
House for sale,,Sugar Land,TX,77478,"$235,000","4 bds, 3.0 ba ,1893 sqft","Mimi Kwan, REALTORS",https://www.zillow.com/homedetails/2010-Creekshire-Dr-Sugar-Land-TX-77478/27552866_zpid/
House for sale,,Sugar Land,TX,77478,"$385,000","5 bds, 4.0 ba ,3945 sqft",World Wide Realty,https://www.zillow.com/homedetails/12723-Blanton-Ln-Sugar-Land-TX-77478/82707155_zpid/
House for sale,,Sugar Land,TX,77478,"$2,100,000","5 bds, 6.0 ba ,6082 sqft",FERGUSON + FBRE,https://www.zillow.com/homedetails/203-Savoy-St-Sugar-Land-TX-77478/27619011_zpid/
House for sale,,Sugar Land,TX,77478,"$339,900","3 bds, 3.0 ba ,2488 sqft",RE/MAX Southwest,https://www.zillow.com/homedetails/1710-Abellfield-Ln-Sugar-Land-TX-77478/27554726_zpid/
House for sale,,Sugar Land,TX,77478,"$255,000","3 bds, 3.0 ba ,2476 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/2102-Chesswood-Cir-Sugar-Land-TX-77478/27538849_zpid/
House for sale,,Sugar Land,TX,77478,"$319,000","3 bds, 2.0 ba ,2287 sqft",Daniel K. Mathews,https://www.zillow.com/homedetails/4202-Merriweather-St-Sugar-Land-TX-77478/27571585_zpid/
House for sale,,Sugar Land,TX,77478,"$189,900","2 bds, 2.0 ba ,1496 sqft",RE/MAX Southwest,https://www.zillow.com/homedetails/13134-Worthington-St-Sugar-Land-TX-77478/27538932_zpid/
Townhouse for sale,,Sugar Land,TX,77478,"$439,900","3 bds, 4.0 ba ,2450 sqft",Camelot Realty,https://www.zillow.com/homedetails/15923-Morgan-St-Sugar-Land-TX-77478/84745765_zpid/
House for sale,,Sugar Land,TX,77478,"$325,000","2 bds, 3.0 ba ,2714 sqft",RE/MAX Southwest,https://www.zillow.com/homedetails/2730-Country-Club-Blvd-Sugar-Land-TX-77478/27609390_zpid/
House for sale,,Sugar Land,TX,77478,"$795,000","4 bds, 4.0 ba ,3837 sqft",RE/MAX Cinco Ranch,https://www.zillow.com/homedetails/1330-Sugar-Creek-Blvd-Sugar-Land-TX-77478/27610213_zpid/
Lot / Land for sale,,Sugar Land,TX,77478,"$349,900","None bds, None ba ,None sqft",Keller Williams Signature,https://www.zillow.com/homedetails/15310-Oyster-Creek-Ln-Sugar-Land-TX-77478/2101687217_zpid/
House for sale,,Sugar Land,TX,77478,"$335,000","4 bds, 2.0 ba ,2394 sqft",CENTURY 21 Western Realty,https://www.zillow.com/homedetails/137-Dogwood-St-Sugar-Land-TX-77478/27545639_zpid/
